domain,videoId,n,tox_mean,tox_p90,tox_top10,coupling_mean,coupling_p90,margin_mean,valence_mean,valence_p10,valence_p90,polarity_mean,polarity_p90,conflict_mean,conflict_p90,conflict_top10,neg_rate,pos_rate,polarization,tox_comp,coupling_comp,conflict_comp,tox_N,coupling_N,conflict_N,TERI_core,TERI_tox_sub,TERI_conflict_sub,TERI_coupling_sub,TERI_total,or_share,or_N,or_n,or_score_p90,TERI_debot,suspected_frac,w_sum,n_raw,cib_risk,flags,n_comments,dup_mass,author_top1_share,author_gini,burst_ratio,author_reuse_max_top10,rank_core,rank_total,rank_debot,rank_cib,shift_total_vs_core,shift_debot_vs_core
global,4idQbwsvtUo,220,0.1532081542514127,0.625289797782898,0.7882176664742556,0.6448379928415472,0.6794285058975219,0.0682939231395721,-0.661585993218151,-0.9084011080209166,-0.3473234102129939,0.7060358800290322,0.91164029520005,0.1828241079878358,0.3517243946558656,0.3772403932484885,0.9590909090909092,0.0409090909090909,0.0818181818181817,0.3892489760171553,0.6621332493695345,0.2672742513218507,0.6744907594765952,-0.674490759476599,0.6744907594765952,0.3372453797382966,0.6744907594765952,0.6744907594765952,-0.674490759476599,0.3372453797382966,0.0772727272727272,0.0,17,0.0,0.3372453797382975,0.0,190.08768155117943,220,0.4928312624930039,burst,5000,0.0782,0.0109999999999999,0.2839146291410144,33.96599999998869,1.0,1.0,1.0,1.0,1.0,0.0,0.0
global,iRYZjOuUnlU,343,0.0373283458898066,0.1068206340074539,0.2656133411186082,0.656344510723481,0.7079477310180664,0.0590677135366045,-0.4883109767562859,-0.8508383929729462,-0.014782927930355,0.5283598292648858,0.8522636849433184,0.1140836864179521,0.2078528080771884,0.2459422093208529,0.9096209912536444,0.0903790087463556,0.1807580174927114,0.0720744899486303,0.6821461208707738,0.1609682472475702,-0.6744907594765952,0.6744907594765915,-0.6744907594765952,-0.3372453797382985,-0.6744907594765952,-0.6744907594765952,0.6744907594765915,-0.3372453797382985,0.0379008746355685,0.0,13,0.0,-0.3372453797382975,0.0,315.2867582433123,343,0.4190209508118306,burst,5000,0.0286,0.0171999999999999,0.2860768196433791,11.584799999992542,1.0,2.0,2.0,2.0,2.0,0.0,0.0
indo,-Ve3m_rUOK4,724,0.2007095547260228,0.4195064634084704,0.6091312855890353,0.6870330680799748,0.758343517780304,0.0627460024468806,-0.3789047460089108,-0.9972506510559468,0.8752642367035158,0.741165176451075,0.9972506510559468,0.1692120273349608,0.3228319137324272,0.3704296339960847,0.6975138121546961,0.3024861878453038,0.6049723756906078,0.3101080090672466,0.7226882929301394,0.246021970533694,-0.6305479004785517,1.652136795854815,-0.7439857041920066,-0.0995799576949193,-0.6305479004785517,-0.7439857041920066,1.652136795854815,-0.0995799576949193,0.0124309392265193,0.0,9,0.0,-0.1677611562838102,0.0,717.0950935552712,724,0.3086864688004099,burst,4969,0.0146910847252968,0.0010062386798148,0.0560242636453752,30.685248540950607,4.0,25.0,25.0,26.0,46.0,0.0,-1.0
indo,-WLpXmnBmxo,179,0.2016580753261223,0.481596577167511,0.6650894300805198,0.6476781714561931,0.6979114294052124,0.116621673440134,-0.2039913812064625,-0.995585028710775,0.8717616617679599,0.6866917825122195,0.995849860366434,0.1358771613415009,0.3175290139594257,0.3604955325411341,0.6256983240223464,0.3743016759776536,0.7486033519553073,0.3416273262468167,0.6727948004307027,0.2267030876504633,-0.291223076372896,-0.5983955381105749,-1.3014475718351812,-0.7215947652191155,-0.291223076372896,-1.3014475718351812,-0.5983955381105749,-0.7215947652191155,0.0223463687150838,0.0,4,0.0,-0.7732289370201316,0.0,173.7475094978846,179,0.4113864492003465,burst,5000,0.0212,0.0033999999999999,0.1297503137346037,15.5529999999984,8.0,38.0,38.0,39.0,13.0,0.0,-1.0
indo,-zJgVE4ZeWM,656,0.2035816738963348,0.42906454205513,0.6089166321537711,0.6666637664524521,0.7310937941074371,0.0859296439079249,-0.4371481601502615,-0.9971958262322004,0.7287684231996536,0.723548944828996,0.9971958262322004,0.1745907516318767,0.3316759003440749,0.3686578563009776,0.7362804878048781,0.2637195121951219,0.5274390243902438,0.3163231079757324,0.6988787802799445,0.2531333259879758,-0.5636385403580173,0.5781675186825174,-0.5387818361950881,-0.2694871791408584,-0.5636385403580173,-0.5387818361950881,0.5781675186825174,-0.2694871791408584,0.0396341463414634,0.0,26,0.0,-0.3670980953115347,0.0121951219512195,623.4508124797892,656,0.5329266265798156,burst,4915,0.0136317395727365,0.0374364191251271,0.131697393424058,64.81302136315459,8.0,30.0,31.0,30.0,4.0,-1.0,0.0
indo,06NQJcjrKyg,175,0.2864896658036325,0.5579708933830261,0.6357835266325209,0.6350039986201695,0.67638258934021,0.1004601865155356,-0.8040431052877102,-0.9974752104491926,-0.2434492111206056,0.8475212919291308,0.9974752104491926,0.2581934065315014,0.3656899747325599,0.3926860880343727,0.9485714285714286,0.0514285714285714,0.1028571428571427,0.4222302795933293,0.6556932939801898,0.3119416906320307,0.5765172623813218,-1.3697885855472025,1.1581807151940768,0.293523008883655,0.5765172623813218,1.1581807151940768,-1.3697885855472025,0.5849178830022722,0.2457142857142857,2.1150629407957333,43,0.3830603873969807,0.2975629592580578,0.0,172.78449419670113,175,0.3448423038844563,burst,5000,0.0164,0.0013999999999999,0.0602884475763398,13.968199999999076,6.0,18.0,11.0,17.0,33.0,7.0,1.0
indo,1H55IxLjYHQ,314,0.2906056636612407,0.6805573225021362,0.7756558712571859,0.6718990979300943,0.7465339362621307,0.0565372288796552,-0.4018674221857555,-0.9965084880706854,0.6974514856934545,0.693159687826879,0.9965084880706854,0.1751158471241985,0.3536389568258592,0.4006217205614751,0.7229299363057324,0.2770700636942675,0.5541401273885351,0.4855814930816884,0.7092165170961124,0.2643774019750289,1.2585320170585204,1.0444690301486264,-0.2143250010068958,0.6895163140081513,1.2585320170585204,-0.2143250010068958,1.0444690301486264,0.6895163140081513,0.0573248407643312,0.0,18,0.0,0.6218188206538381,0.0,298.274597730972,314,0.5181895336176635,burst,4962,0.0272067714631197,0.0356711003627569,0.2790024938814529,42.68440145101263,3.0,9.0,10.0,9.0,5.0,-1.0,0.0
indo,4UFiy6OkgN0,104,0.2482769432972418,0.5584268927574159,0.7335826429453763,0.6601096918949714,0.7312633395195007,0.1696171843661711,-0.2783748914270501,-0.990935346786864,0.9340713877230884,0.7307301808468765,0.9913903943262994,0.1600879230524411,0.3592952749009609,0.4010204523385638,0.6730769230769231,0.3269230769230769,0.6538461538461537,0.4033519180273288,0.695686515707236,0.259691598976701,0.3732800957482132,0.4341749000151874,-0.349537606551664,0.1355176010099997,0.3732800957482132,-0.349537606551664,0.4341749000151874,0.1355176010099997,0.0673076923076923,0.0,7,0.0,0.1418130483516589,0.0,101.37475067809272,104,0.4541778711084834,"burst,crossvid_reuse",5000,0.0292,0.0043999999999999,0.1033188607311056,56.28699999998526,15.0,19.0,19.0,19.0,8.0,0.0,0.0
indo,58s6DyPaf4s,85,0.2487591694163925,0.4165676236152649,0.5700353218449487,0.6368115488220664,0.6676717519760131,0.1041878086679122,-0.8532298169977045,-0.998311461310368,-0.4170511424541469,0.8609224447817884,0.998311461310368,0.2616154708580985,0.3452863857860248,0.3844476886116609,0.9529411764705882,0.0470588235294117,0.0941176470588236,0.3326633965158287,0.6522416503990398,0.3034509283220616,-0.3877252899815863,-1.5254809433189085,0.9131729554991196,-0.2168498173976697,-0.3877252899815863,0.9131729554991196,-1.5254809433189085,-0.2168498173976697,0.2470588235294117,0.0,21,0.3421683748047737,-0.1906200735155305,0.0,84.30106656888661,85,0.3426709126960284,burst,5000,0.0268,0.0013999999999999,0.0860600132187706,6.942599999999154,4.0,27.0,27.0,27.0,36.0,0.0,0.0
indo,6HE8plzRD9o,171,0.2799462972468239,0.5955430269241333,0.7041229473219978,0.6687866417985213,0.7447969317436218,0.1501280471943972,-0.3388997971284311,-0.9957900195149704,0.8270327299833298,0.746121513902612,0.9957900195149704,0.1767217918712598,0.3715604804224315,0.4074524118256823,0.6900584795321637,0.3099415204678362,0.6198830409356726,0.4377446620854786,0.7067917867710716,0.2741411361468457,0.7435391264738808,0.9350973721571056,0.06741538323225,0.5547853777601163,0.7435391264738808,0.06741538323225,0.9350973721571056,0.5547853777601163,0.0467836257309941,0.0,8,0.0,0.5528541590016851,0.0,158.56498040611328,171,0.4098022732525159,burst,5000,0.022,0.0029999999999999,0.1239416685925583,28.9015999999979,8.0,10.0,12.0,10.0,16.0,-2.0,0.0
