domain,videoId,stage,status,reason,notes,n_ok_chunks
global,spPo80dPUwI,topic_screened,skip,topic_off_by_threshold,,0
global,fOCWBhuDdDo,topic_screened,skip,topic_off_by_threshold,,0
global,myjEoDypUD8,topic_screened,skip,topic_off_by_threshold,,0
global,eRLJscAlk1M,topic_screened,skip,topic_off_by_threshold,,0
global,SunGGUktKok,alignment_screened,skip,too_few_aligned_comments,,40
global,vT2Y_NGOwoQ,topic_screened,skip,topic_off_by_threshold,,0
global,4idQbwsvtUo,alignment_screened,skip,too_few_aligned_comments,,109
global,6VixqvOcK8E,topic_screened,skip,topic_off_by_threshold,,0
global,YdvWS44tYOk,topic_screened,skip,topic_off_by_threshold,,0
global,6wm-NtMkqz8,topic_screened,skip,topic_off_by_threshold,,0
global,MjxGwfa5lxw,topic_screened,skip,topic_off_by_threshold,,0
global,80DaR2CVNNk,alignment_screened,skip,too_few_aligned_comments,,76
global,YJQSuUZdcV4,topic_screened,skip,topic_off_by_threshold,,0
global,qqG96G8YdcE,alignment_screened,skip,too_few_aligned_comments,,289
global,KDo8n_7_2YI,topic_screened,skip,topic_off_by_threshold,,0
global,6Af6b_wyiwI,alignment_screened,skip,too_few_aligned_comments,,7
global,ySjsc-IrCog,topic_screened,skip,topic_off_by_threshold,,0
global,Cg6jvKt2h6s,topic_screened,skip,topic_off_by_threshold,,0
global,bGx7hUx2rww,topic_screened,skip,topic_off_by_threshold,,0
global,k2AyGIeeL7M,chunk_qc,skip,too_few_valid_chunks,,1
global,iiUkbE_ktHs,topic_screened,skip,topic_off_by_threshold,,0
global,HrTJxftP3vc,topic_screened,skip,topic_off_by_threshold,,0
global,Sv2h-csnlps,topic_screened,skip,topic_off_by_threshold,,0
global,wz_42pckM7w,topic_screened,skip,topic_off_by_threshold,,0
global,OPatY665VXg,topic_screened,skip,topic_off_by_threshold,,0
global,sJgsdVyQBBw,topic_screened,skip,topic_off_by_threshold,,0
global,KXfibK8tCtk,topic_screened,skip,topic_off_by_threshold,,0
global,C3q023WGTt8,topic_screened,skip,topic_off_by_threshold,,0
global,2pMsYSR7g78,topic_screened,skip,topic_off_by_threshold,,0
global,9LtF34MrsfI,topic_screened,skip,topic_off_by_threshold,,0
global,1gHbwT_R9t0,topic_screened,skip,topic_off_by_threshold,,0
global,NKM6fayS4NE,topic_screened,skip,topic_off_by_threshold,,0
global,YgQy70_LPS4,topic_screened,skip,topic_off_by_threshold,,0
global,VgsC_aBquUE,alignment_screened,skip,too_few_aligned_comments,,289
global,e8fDM60MS84,alignment_screened,skip,too_few_aligned_comments,,7
global,qWHYKLYmOJM,topic_screened,skip,topic_off_by_threshold,,0
global,jCuush29e1g,topic_screened,skip,topic_off_by_threshold,,0
global,mC6Cbd2XObE,chunk_qc,skip,too_few_valid_chunks,,1
global,or_MDJnmihc,topic_screened,skip,topic_off_by_threshold,,0
global,Zk11vI-7czE,topic_screened,skip,topic_off_by_threshold,,0
global,vxyxHsVSgyA,topic_screened,skip,topic_off_by_threshold,,0
global,vTCZ_HuGiG4,topic_screened,skip,topic_off_by_threshold,,0
global,h_TqO9EqMhY,topic_screened,skip,topic_off_by_threshold,,0
global,jWJVMoe7OY0,topic_screened,skip,topic_off_by_threshold,,0
global,xyAqMIZdX5g,topic_screened,skip,topic_off_by_threshold,,0
global,OC_7FlcFYCM,topic_screened,skip,topic_off_by_threshold,,0
global,XQZzJpRWFCY,topic_screened,skip,topic_off_by_threshold,,0
global,FdAh2HJ98WE,alignment_screened,skip,too_few_aligned_comments,,58
global,LIbwYaOcGxg,topic_screened,skip,topic_off_by_threshold,,0
global,iRYZjOuUnlU,alignment_screened,skip,too_few_aligned_comments,,9
global,KVZ5Wr_IV2g,topic_screened,skip,topic_off_by_threshold,,0
global,Jc0uuf6YmR8,topic_screened,skip,topic_off_by_threshold,,0
global,6E-_CZf85mA,topic_screened,skip,topic_off_by_threshold,,0
global,NZ74oFctP_g,topic_screened,skip,topic_off_by_threshold,,0
global,-1NFirxhXWE,topic_screened,skip,topic_off_by_threshold,,0
global,a-sM_mPpFUM,topic_screened,skip,topic_off_by_threshold,,0
global,vio53jUpJz0,topic_screened,skip,topic_off_by_threshold,,0
global,1Zh4ON8p1BY,chunk_qc,skip,too_few_valid_chunks,,1
global,tlcj-9yYRYk,topic_screened,skip,topic_off_by_threshold,,0
global,1evyptWWgDE,topic_screened,skip,topic_off_by_threshold,,0
